Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Season
1/2/17,5fc4529d9280f04a4cadda38,5fc4529d9280f04a4cadda3f,0.0,4.0,A,0.0,3.0,A,5fc451059280f04a4cad63cf,6.0,11.0,1.0,4.0,11.0,14.0,2.0,4.0,3.0,3.0,0.0,0.0,2016-17
4/2/17,5fc4529d9280f04a4cadda46,5fc4529d9280f04a4cadda3d,3.0,1.0,H,1.0,0.0,H,5fc451059280f04a4cad63c7,13.0,9.0,6.0,5.0,14.0,8.0,10.0,13.0,1.0,1.0,0.0,0.0,2016-17
4/2/17,5fc4529d9280f04a4cadda47,5fc4529d9280f04a4cadda4b,0.0,4.0,A,0.0,4.0,A,5fc451059280f04a4cad63d8,21.0,10.0,9.0,7.0,8.0,8.0,6.0,1.0,3.0,3.0,0.0,0.0,2016-17
4/2/17,5fc4529d9280f04a4cadda36,5fc4529d9280f04a4cadda4a,6.0,3.0,H,3.0,0.0,H,5fc451059280f04a4cad63ca,15.0,18.0,10.0,8.0,14.0,4.0,4.0,8.0,3.0,1.0,0.0,0.0,2016-17
4/2/17,5fc4529d9280f04a4cadda39,5fc4529d9280f04a4cadda4d,2.0,0.0,H,1.0,0.0,H,5fc451059280f04a4cad63dd,7.0,22.0,4.0,5.0,9.0,12.0,1.0,15.0,2.0,1.0,0.0,0.0,2016-17
4/2/17,5fc4529d9280f04a4cadda3b,5fc4529d9280f04a4cadda38,1.0,3.0,A,1.0,2.0,A,5fc451059280f04a4cad63de,21.0,6.0,7.0,4.0,12.0,15.0,3.0,2.0,0.0,2.0,0.0,0.0,2016-17
4/2/17,5fc4529d9280f04a4cadda49,5fc4529d9280f04a4cadda4e,1.0,0.0,H,0.0,0.0,D,5fc451059280f04a4cad63d4,17.0,8.0,5.0,0.0,8.0,11.0,11.0,2.0,0.0,1.0,0.0,0.0,2016-17
4/2/17,5fc4529d9280f04a4cadda48,5fc4529d9280f04a4cadda45,2.0,1.0,H,2.0,0.0,H,5fc451059280f04a4cad63cc,16.0,11.0,7.0,7.0,12.0,10.0,3.0,6.0,5.0,0.0,0.0,1.0,2016-17
4/2/17,5fc4529d9280f04a4cadda35,5fc4529d9280f04a4cadda3c,1.0,0.0,H,1.0,0.0,H,5fc451059280f04a4cad63cf,16.0,12.0,4.0,2.0,6.0,13.0,5.0,6.0,2.0,2.0,0.0,0.0,2016-17
5/2/17,5fc4529d9280f04a4cadda42,5fc4529d9280f04a4cadda41,0.0,3.0,A,0.0,2.0,A,5fc451059280f04a4cad63c8,11.0,15.0,1.0,9.0,12.0,13.0,10.0,3.0,2.0,4.0,0.0,0.0,2016-17
5/2/17,5fc4529d9280f04a4cadda3f,5fc4529d9280f04a4cadda43,2.0,1.0,H,1.0,0.0,H,5fc451059280f04a4cad63da,17.0,4.0,5.0,2.0,9.0,13.0,10.0,3.0,2.0,3.0,0.0,0.0,2016-17
11/2/17,5fc4529d9280f04a4cadda3d,5fc4529d9280f04a4cadda39,2.0,0.0,H,1.0,0.0,H,5fc451059280f04a4cad63d4,17.0,9.0,7.0,4.0,12.0,9.0,3.0,8.0,3.0,1.0,0.0,1.0,2016-17
11/2/17,5fc4529d9280f04a4cadda4d,5fc4529d9280f04a4cadda49,2.0,0.0,H,2.0,0.0,H,5fc451059280f04a4cad63c8,17.0,7.0,9.0,2.0,14.0,14.0,10.0,3.0,3.0,4.0,0.0,0.0,2016-17
11/2/17,5fc4529d9280f04a4cadda41,5fc4529d9280f04a4cadda48,2.0,0.0,H,1.0,0.0,H,5fc451059280f04a4cad63e1,22.0,9.0,11.0,3.0,10.0,12.0,5.0,1.0,1.0,0.0,0.0,0.0,2016-17
11/2/17,5fc4529d9280f04a4cadda4e,5fc4529d9280f04a4cadda36,0.0,0.0,D,0.0,0.0,D,5fc451059280f04a4cad63da,9.0,7.0,3.0,3.0,14.0,9.0,5.0,2.0,2.0,0.0,0.0,0.0,2016-17
11/2/17,5fc4529d9280f04a4cadda3c,5fc4529d9280f04a4cadda47,1.0,0.0,H,0.0,0.0,D,5fc451059280f04a4cad63c7,7.0,6.0,4.0,1.0,10.0,14.0,5.0,5.0,1.0,3.0,0.0,0.0,2016-17
11/2/17,5fc4529d9280f04a4cadda4b,5fc4529d9280f04a4cadda3b,0.0,4.0,A,0.0,2.0,A,5fc451059280f04a4cad63d6,6.0,15.0,1.0,8.0,12.0,14.0,6.0,2.0,1.0,0.0,0.0,0.0,2016-17
11/2/17,5fc4529d9280f04a4cadda38,5fc4529d9280f04a4cadda35,2.0,2.0,D,0.0,1.0,A,5fc451059280f04a4cad63cc,16.0,8.0,4.0,3.0,7.0,14.0,7.0,5.0,3.0,2.0,0.0,0.0,2016-17
12/2/17,5fc4529d9280f04a4cadda45,5fc4529d9280f04a4cadda46,1.0,1.0,D,1.0,1.0,D,5fc451059280f04a4cad63cf,6.0,13.0,4.0,2.0,12.0,11.0,1.0,1.0,3.0,2.0,0.0,0.0,2016-17
12/2/17,5fc4529d9280f04a4cadda43,5fc4529d9280f04a4cadda42,2.0,0.0,H,2.0,0.0,H,5fc451059280f04a4cad63d0,10.0,9.0,4.0,1.0,7.0,14.0,7.0,3.0,2.0,2.0,0.0,0.0,2016-17
13/02/17,5fc4529d9280f04a4cadda4a,5fc4529d9280f04a4cadda3f,0.0,2.0,A,0.0,1.0,A,5fc451059280f04a4cad63c9,5.0,17.0,1.0,5.0,8.0,11.0,3.0,7.0,2.0,3.0,0.0,0.0,2016-17
25/02/17,5fc4529d9280f04a4cadda46,5fc4529d9280f04a4cadda43,3.0,1.0,H,1.0,1.0,D,5fc451059280f04a4cad63c9,16.0,3.0,5.0,2.0,11.0,14.0,8.0,1.0,1.0,3.0,0.0,0.0,2016-17
25/02/17,5fc4529d9280f04a4cadda47,5fc4529d9280f04a4cadda4e,1.0,0.0,H,1.0,0.0,H,5fc451059280f04a4cad63e1,15.0,11.0,3.0,4.0,13.0,15.0,4.0,2.0,3.0,1.0,0.0,0.0,2016-17
25/02/17,5fc4529d9280f04a4cadda36,5fc4529d9280f04a4cadda4b,2.0,0.0,H,1.0,0.0,H,5fc451059280f04a4cad63dc,20.0,10.0,8.0,1.0,10.0,16.0,10.0,6.0,0.0,2.0,0.0,0.0,2016-17
25/02/17,5fc4529d9280f04a4cadda39,5fc4529d9280f04a4cadda45,1.0,1.0,D,0.0,0.0,D,5fc451059280f04a4cad63c7,15.0,10.0,1.0,3.0,8.0,13.0,6.0,3.0,1.0,1.0,0.0,1.0,2016-17
25/02/17,5fc4529d9280f04a4cadda48,5fc4529d9280f04a4cadda38,1.0,1.0,D,1.0,0.0,H,5fc451059280f04a4cad63d1,9.0,13.0,1.0,2.0,18.0,14.0,4.0,6.0,4.0,1.0,0.0,1.0,2016-17
